Campaign_ID,Campaign_Name,Start_Date,End_Date,Campaign_Budget,Leads_Generated
5047,nameless-shadow-2015,2024-05-05T00:05:56+00:00,2024-05-05T00:05:56+00:00,54153.58,666
5048,lingering-rice-8060,2024-02-10T03:14:35+00:00,2024-02-10T03:14:35+00:00,50908.37,536
5049,aged-lake-7895,2024-08-05T22:28:32+00:00,2024-08-05T22:28:32+00:00,45111.31,304
5050,jolly-river-7549,2023-11-26T09:32:53+00:00,2023-11-26T09:32:53+00:00,57256.21,790
5051,green-field-9847,2024-06-05T07:01:16+00:00,2024-06-05T07:01:16+00:00,39938.00,97
5052,throbbing-rain-3212,2024-02-09T20:32:40+00:00,2024-02-09T20:32:40+00:00,53045.56,621
5053,lingering-morning-4988,2024-05-15T06:28:31+00:00,2024-05-15T06:28:31+00:00,45092.25,303
5054,purple-field-8393,2024-02-14T19:18:11+00:00,2024-02-14T19:18:11+00:00,51609.58,564
5055,blue-mountain-9744,2024-03-22T07:54:56+00:00,2024-03-22T07:54:56+00:00,45430.24,317
5056,super-surf-0326,2024-02-29T06:02:14+00:00,2024-02-29T06:02:14+00:00,47925.15,417
5057,odd-term-6166,2023-11-12T10:33:34+00:00,2023-11-12T10:33:34+00:00,46417.08,356
5058,long-mouse-2996,2024-08-07T07:23:54+00:00,2024-08-07T07:23:54+00:00,38984.59,59
5059,round-pond-3711,2024-03-07T00:10:52+00:00,2024-03-07T00:10:52+00:00,57349.91,793
5060,tiny-bar-2247,2024-06-06T22:58:04+00:00,2024-06-06T22:58:04+00:00,46878.55,375
5061,proud-sunset-3365,2024-04-23T23:48:00+00:00,2024-04-23T23:48:00+00:00,53159.25,626
5062,mute-voice-3247,2024-03-21T21:16:19+00:00,2024-03-21T21:16:19+00:00,61130.88,945
5063,green-salad-5180,2024-03-10T10:41:35+00:00,2024-03-10T10:41:35+00:00,55352.82,714
5064,empty-wood-7858,2024-02-25T00:10:44+00:00,2024-02-25T00:10:44+00:00,50156.16,506
5065,plain-violet-0101,2024-07-21T12:03:15+00:00,2024-07-21T12:03:15+00:00,47894.86,415
5066,billowing-salad-7096,2024-08-17T10:43:35+00:00,2024-08-17T10:43:35+00:00,47113.39,384
5067,cold-sun-1991,2024-02-28T16:41:37+00:00,2024-02-28T16:41:37+00:00,46127.18,345
5068,restless-shape-5978,2023-12-26T18:30:49+00:00,2023-12-26T18:30:49+00:00,56201.96,748
5069,bold-cake-2516,2024-04-22T06:53:01+00:00,2024-04-22T06:53:01+00:00,58042.44,821
5070,lucky-night-5005,2024-03-06T01:01:09+00:00,2024-03-06T01:01:09+00:00,46379.10,355
5071,yellow-band-1887,2024-07-12T07:31:49+00:00,2024-07-12T07:31:49+00:00,42012.69,180
5072,wandering-night-9129,2024-01-11T12:31:22+00:00,2024-01-11T12:31:22+00:00,50039.70,501
5073,square-sun-8679,2024-09-19T00:07:11+00:00,2024-09-19T00:07:11+00:00,46812.63,372
5074,small-math-1061,2023-12-23T14:07:25+00:00,2023-12-23T14:07:25+00:00,55574.33,722
5075,sparkling-mode-6066,2023-10-28T06:05:13+00:00,2023-10-28T06:05:13+00:00,43088.54,223
5076,wispy-bush-9677,2024-05-29T07:38:53+00:00,2024-05-29T07:38:53+00:00,60266.36,910
5077,empty-dream-8508,2024-02-10T01:21:23+00:00,2024-02-10T01:21:23+00:00,41795.28,171
5078,icy-tooth-2091,2024-10-07T15:02:25+00:00,2024-10-07T15:02:25+00:00,37947.27,17
5079,wandering-fashion-5633,2024-10-17T17:06:45+00:00,2024-10-17T17:06:45+00:00,52569.20,602
5080,steep-math-3550,2024-01-24T20:00:38+00:00,2024-01-24T20:00:38+00:00,45105.94,304
5081,sparkling-penguin-9314,2024-04-29T07:58:31+00:00,2024-04-29T07:58:31+00:00,61538.33,961
5082,autumn-bird-2526,2024-04-21T13:44:00+00:00,2024-04-21T13:44:00+00:00,62227.29,989
5083,summer-recipe-9741,2024-09-04T10:52:38+00:00,2024-09-04T10:52:38+00:00,51896.35,575
5084,round-leaf-5982,2023-10-30T19:44:52+00:00,2023-10-30T19:44:52+00:00,43997.83,259
5085,white-bonus-5139,2024-03-04T15:53:12+00:00,2024-03-04T15:53:12+00:00,50520.95,520
5086,frosty-paper-3982,2023-12-21T09:44:27+00:00,2023-12-21T09:44:27+00:00,49990.89,499
5087,young-water-0797,2024-03-20T14:22:56+00:00,2024-03-20T14:22:56+00:00,59272.38,870
5088,jolly-dust-8120,2023-12-10T18:00:18+00:00,2023-12-10T18:00:18+00:00,38122.76,24
5089,frosty-violet-9419,2024-04-21T11:18:59+00:00,2024-04-21T11:18:59+00:00,46718.33,368
5090,solitary-water-9366,2023-11-29T05:59:12+00:00,2023-11-29T05:59:12+00:00,41646.20,165
5091,empty-cake-5343,2024-10-03T16:07:41+00:00,2024-10-03T16:07:41+00:00,47806.95,412
5092,orange-moon-6186,2024-05-10T21:02:56+00:00,2024-05-10T21:02:56+00:00,40918.35,136
5093,floral-lake-7736,2024-04-14T15:08:53+00:00,2024-04-14T15:08:53+00:00,49984.01,499
5094,soft-frost-3052,2024-10-06T17:00:47+00:00,2024-10-06T17:00:47+00:00,40132.78,105
5095,raspy-morning-5366,2024-08-30T03:00:56+00:00,2024-08-30T03:00:56+00:00,49913.38,496
5096,proud-art-4665,2024-08-17T11:57:51+00:00,2024-08-17T11:57:51+00:00,61268.20,950
5097,flat-snowflake-6886,2024-09-19T00:55:32+00:00,2024-09-19T00:55:32+00:00,51309.53,552
5098,damp-dawn-3133,2024-01-14T00:36:59+00:00,2024-01-14T00:36:59+00:00,49516.78,480
5099,crimson-recipe-4903,2024-07-06T03:53:07+00:00,2024-07-06T03:53:07+00:00,61475.64,959
